filename,zero_crossing,mean_sprectral_roll_off,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,chroma_1,chroma_2,chroma_3,chroma_4,chroma_5,chroma_6,chroma_7,chroma_8,chroma_9,chroma_10,chroma_11,chroma_12,spectral_contrast_1,spectral_contrast_2,spectral_contrast_3,spectral_contrast_4,spectral_contrast_5,spectral_contrast_6,spectral_contrast_7,mfcc_11,mfcc_12,mfcc_13,mfcc_14,mfcc_15,mfcc_16,mfcc_17,mfcc_18,mfcc_19,mfcc_20
0.wav,1897.511310818829,,9.053869653996573e-09,1.9616718915926867e-08,-5.0928017358842226e-09,6.790402462542033e-09,0.0,-8.676625640191561e-09,3.206579002323906e-09,7.54489193344198e-10,9.053869653996573e-09,2.263467413499143e-09,0.6430632472038269,0.4703204333782196,0.3727442324161529,0.247622013092041,0.1554701775312423,0.1110123246908187,0.1601944416761398,0.2413654625415802,0.3217790424823761,0.3352875709533691,0.3966492116451263,0.5717417597770691,21.241322964713728,16.70753347728029,21.359123630695898,20.27254450537462,22.409120042561646,24.7471574767578,57.4772832239866,-1.0562848373751876e-08,1.5089783644839372e-08,-6.035913546753591e-09,-5.281424186875938e-09,1.5467028546822803e-08,1.5089783644839372e-08,-2.263467413499143e-09,-1.0940093275735308e-08,0.0,-1.0185603471768444e-08
1.wav,3250.2523126961296,,1.1970807456407329e-08,-3.9902690041060396e-09,0.0,-7.980538008212079e-09,-5.985403728203664e-09,7.980538008212079e-09,1.1970807456407329e-08,-3.9902690041060396e-09,-7.980538008212079e-09,5.985403728203664e-09,0.3960444033145904,0.4181150794029236,0.40657839179039,0.3689598143100738,0.4241445064544678,0.5609095096588135,0.510478138923645,0.3965935707092285,0.3485226035118103,0.2963349521160126,0.2986585795879364,0.3528502583503723,20.048146195893587,13.940146792951756,18.34955482400727,16.01498249357471,24.645488063870275,27.49835945456173,65.77715242948959,0.0,-3.9902690041060396e-09,6.982971090252477e-09,1.5961076016424158e-08,-1.1970807456407329e-08,-9.975672732309704e-09,0.0,9.975672732309704e-09,-1.1970807456407329e-08,7.980538008212079e-09
10.wav,2314.879484549581,,-1.0655578641660668e-08,0.0,-2.1311157283321336e-08,9.323631644519992e-09,6.65973665103791e-10,0.0,1.0655578641660668e-08,-5.327789320830334e-09,7.991684647379316e-09,5.327789320830334e-09,0.4356776773929596,0.3980356454849243,0.3332366645336151,0.3033752143383026,0.4198740422725677,0.4815626144409179,0.4831002950668335,0.4634181559085846,0.5298109650611877,0.55982905626297,0.5569953918457031,0.5527621507644653,21.195388435892845,13.463857039412504,20.117157845947123,17.903757996222694,21.46626407050242,22.6252876773619,56.62358350016491,7.991684647379316e-09,2.663894660415167e-09,5.327789320830334e-09,0.0,1.0655578641660668e-08,1.0655578641660668e-08,-1.0655578641660668e-08,-1.0655578641660668e-08,1.0655578641660668e-08,-5.327789320830334e-09
11.wav,3729.394394858589,,0.0,-2.663894660415167e-09,5.327789320830334e-09,5.327789320830334e-09,5.327789320830334e-09,0.0,0.0,-5.327789320830334e-09,0.0,0.0,0.4564338624477386,0.4226177036762237,0.3339839577674866,0.2486240416765213,0.2521656155586242,0.3041811883449554,0.3028292655944824,0.236302763223648,0.2871952950954437,0.4496817588806152,0.5572322010993958,0.5220600962638855,21.782053654675725,17.007703594340352,19.752723099302628,18.62886223682945,18.05582488358741,17.922285890588284,65.87865227541259,-2.1311157283321336e-08,-4.661815822259996e-09,-1.0655578641660668e-08,-2.663894660415167e-09,-6.659736762060221e-09,-1.0655578641660668e-08,5.327789320830334e-09,-1.0655578641660668e-08,-2.663894660415167e-09,-1.0655578641660668e-08
12.wav,2309.307861328125,,-1.1353265882974029e-08,0.0,1.1353265882974029e-08,0.0,1.1353265882974029e-08,-1.1353265882974029e-08,0.0,1.1353265882974029e-08,0.0,0.0,0.3325660228729248,0.3482294976711273,0.384840190410614,0.3775368928909302,0.3191213607788086,0.3984131217002868,0.4175706207752228,0.503401517868042,0.4255508780479431,0.3310232758522033,0.3472847044467926,0.3288091123104095,24.65776338743205,16.390889643446137,18.161563565382224,16.378199820882557,18.81359677430789,22.24708358919807,53.58197134351602,5.676632941487014e-09,-1.1353265882974029e-08,1.1353265882974029e-08,8.514949634275126e-09,-8.514949634275126e-09,0.0,-5.676632941487014e-09,0.0,1.1353265882974029e-08,5.676632941487014e-09
13.wav,4347.112669427711,,8.617538682642591e-09,5.745025788428393e-09,2.603214976915069e-09,1.0771923797392446e-08,7.181282679624701e-09,-1.1130987687124616e-08,-5.745025788428393e-09,-3.0408242590596046e-09,5.745025788428393e-09,-5.38596167665161e-10,0.1922176033258438,0.1751254051923751,0.1992995291948318,0.2554222047328949,0.3641583323478699,0.7081782221794128,0.7829099893569946,0.5417320728302002,0.4114217162132263,0.2781091928482055,0.205828309059143,0.1906085461378097,19.658929258269804,12.022662468042984,15.64609287979856,14.313804724139276,23.496157047457253,28.11916160940545,64.7308753889559,3.5906411177677435e-10,5.745025788428393e-09,4.1292373964552115e-09,-5.026897564874844e-09,-1.1849116354767377e-08,-1.436256447107098e-09,3.41110917290166e-09,-7.181282679624701e-09,-7.18128223553549e-10,-1.2926308912142304e-08
14.wav,4819.380519701087,,-1.0366025371411073e-08,6.046847911278519e-09,1.3821367161881426e-08,1.2957531048130022e-08,-1.4685202387454412e-08,6.478765524065011e-09,-1.4685202387454412e-08,-1.3821367161881426e-08,8.63835447617589e-10,7.774518806513697e-09,0.4057952165603637,0.348319262266159,0.443975418806076,0.4755398333072662,0.4427404105663299,0.5369985103607178,0.6313954591751099,0.6163400411605835,0.6106308698654175,0.5672152042388916,0.5921377539634705,0.5608500838279724,16.00190216566854,14.4233619855395,17.204161987228545,14.506658564667644,16.836866566052695,18.384213871491283,59.064765658852046,3.455341790470356e-09,-1.2957531048130022e-08,7.342601193727205e-09,1.2957531048130022e-08,-2.7210816710976363e-08,3.8872594032568494e-09,-5.183012685705535e-09,1.5549037613027394e-08,-7.774518806513697e-09,-1.4037325968274672e-08
15.wav,2877.40220858564,,1.154968920502597e-08,0.0,6.599822466313299e-09,-1.3199644932626596e-08,1.3199644932626596e-08,1.9799466954850693e-08,-4.9498667387126716e-09,9.899733477425345e-09,1.3199644932626596e-08,0.0,0.4612352252006531,0.4071882665157318,0.3822400867938995,0.3021798431873321,0.2983660697937011,0.4522191882133484,0.4590670466423034,0.493693470954895,0.4750581681728363,0.4823966920375824,0.425942599773407,0.4310294091701507,20.3605739803437,14.05990453254768,20.797044108503428,18.59550002044661,21.449795843838697,22.83229286023684,61.45959719760432,0.0,3.299911233156649e-09,-6.599822466313299e-09,6.599822466313299e-09,-1.3199644932626596e-08,1.2374666846781679e-09,3.299911233156649e-09,2.6399289865253195e-08,-1.3199644932626596e-08,0.0
16.wav,1619.2652085248162,,1.40246223523377e-08,-7.0123111761688506e-09,1.40246223523377e-08,0.0,7.0123111761688506e-09,0.0,0.0,-7.0123111761688506e-09,-7.0123111761688506e-09,7.0123111761688506e-09,0.4387964010238647,0.299637496471405,0.1891426891088485,0.2296837717294693,0.2875015437602997,0.3380351960659027,0.3497216701507568,0.3693045079708099,0.380110502243042,0.4070903360843658,0.4806359708309173,0.4592689573764801,20.14024214924396,17.06148045365006,22.672065769386304,19.36174399595381,23.1282487628724,25.08938852752267,48.91962136672746,3.506155588084425e-09,1.40246223523377e-08,-1.051846698629788e-08,-7.0123111761688506e-09,-1.051846698629788e-08,7.0123111761688506e-09,7.0123111761688506e-09,7.0123111761688506e-09,0.0,-1.40246223523377e-08
17.wav,1996.845703125,,7.064254070598963e-09,-1.4128508141197926e-08,-1.1479412975745618e-08,1.76606351764974e-09,1.4128508141197926e-08,0.0,-2.8257016282395853e-08,7.064254070598963e-09,0.0,-7.064254070598963e-09,0.4864933788776397,0.4439482390880584,0.3185223340988159,0.2628422379493713,0.2175446301698684,0.1555970311164856,0.1550909429788589,0.1829964816570282,0.3001463413238525,0.3582947552204132,0.4336766302585602,0.5371072888374329,21.2388795573966,19.960233363850648,22.248039853836865,20.255067695772144,22.75905814058655,28.156172748777344,50.81468642568952,-1.4128508141197926e-08,1.4128508141197926e-08,0.0,1.4128508141197926e-08,-2.8257016282395853e-08,-7.064254070598963e-09,-7.064254070598963e-09,-2.1192763099975312e-08,7.064254070598963e-09,7.064254070598963e-09
